年,国家機関費,地方財政費,防衛関係費,国土保全及び開発費,産業経済費,教育文化費,社会保障関係費,恩給費,国債費,その他
1996,4223524673,13969056401,4840665178,10388919549,3312905468,6311380754,17278874684,1652218259,16083850997,786471436
1997,4089878933,15503917972,4975677697,9210198515,3240075324,6260078296,17561071141,1596151284,15925814652,107446364
1998,4280839099,14326238212,4982414986,11052792039,4910396599,7063626594,17968762998,1547474168,17698532948,560720538
1999,4273674613,13105011723,4923268867,11083969090,4011527035,6674731817,21263060325,1484077623,20271924397,1946185898
2000,4802768587,15849461435,4931354728,10236076779,4111681798,6729854185,19678537861,1417383456,21446082307,117848770
2001,4845892598,16725670735,4993022486,9272010124,4026447612,6415160274,21239728990,1349488549,15828895417,114811714
2002,4308629665,16500834094,4943816744,7963231933,5421253000,6452419947,21086544930,1281190061,15600307856,116061689
2003,4382520704,17427158365,4951477751,8248139969,3213295564,6194742628,21117117402,1206395114,15544023946,131099215
2004,4464313211,17703484772,4921492949,8055495328,3248391168,5920942390,21794974830,1135318407,17514898571,137464675
2005,4460200856,17504074308,4900978100,7942207471,2998228230,5783164276,21996015699,1064445266,18735950593,134327404
2006,4361194867,16761090449,4838999823,6937891934,2734879729,5010265630,21640727380,991021774,18036873531,132535572
2007,4530742429,15010305478,4778565357,6576189506,3159778905,5263336287,22166744512,939985622,19290408668,126513456
2008,4470410404,15702928407,4823873909,6314345042,3949330597,5280795114,23538208996,855035066,19166464213,596003290
2009,5074090225,16595904253,4831771933,7562815928,7643915744,5869946393,30197536979,779813857,18444821997,3972807075
2010,4945147236,18809852561,4678220145,5670372003,4265026290,5751167767,28941286551,708513660,19543900165,1998855325
2011,4928503182,19469488558,4824861715,6422748987,6661729113,5787564209,31203701984,637753224,19627720861,1151337298
2012,4369555684,16900990748,4770980200,5761729805,4827678295,5750458806,29998072927,569666324,21010678991,3127364837
2013,4867349264,17575309002,4802875442,7887098236,3563750596,5799489472,29846674008,503500370,21293507626,4049324814
2014,4860631635,17185775269,5073428675,7218035719,3509288639,5534224817,30858747059,442797202,22185692730,1944845682
2015,5061873526,16888314210,5141147921,6387967080,3368098750,5298923565,31927683924,386238253,22463534769,1306542097
2016,4979956434,15421261402,5162012628,6746035521,3602752975,5355756145,32837035963,334049209,22085592882,1017311678
2017,4825663205,15644801858,5286811260,6894955678,3157471367,5442152668,33107303349,285041547,22520820705,950583079
2018,4807859792,16099323993,5487851505,6971474840,3309277871,5480383874,33108702649,240609426,22528601809,940610781
2019,5185301862,16105751628,5640846450,7692705434,4071332506,5529223693,34057445993,201300193,22285721513,596837952
2020,5710377918,16333291290,5519717299,8544646903,22842957344,6781060683,43560888620,168336426,22325552116,15810530389
2021,5538197678,19631494255,6028336526,8707579105,15148385537,6851310457,50798136324,138831194,24589323006,7217919973
2022,6777376179,17582631621,5544662509,8174050840,13857127086,7294831362,44585296085,111751779,23869715555,4588105911
